month,jpl_ocean_mass_reference_mm,jpl_ocean_mass_uncertainty_mean_mm,source_time_days,ocean_cell_count,original_jpl_ocean_mass_reference_mm,filled_jpl_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2020-08,44.830737554642845,14.698974872041342,6802.5,121253,44.830737554642845,44.830737554642845,observed,observed,,
2020-09,37.57180723465785,14.784381556531779,6833.0,121253,37.57180723465785,37.57180723465785,observed,observed,,
2020-10,36.648094439576916,14.731513982337548,6863.5,121253,36.648094439576916,36.648094439576916,observed,observed,,
2020-11,29.954830933775554,14.957343522540091,6894.0,121253,29.954830933775554,29.954830933775554,observed,observed,,
2020-12,27.123133005575514,14.780155072820087,6924.5,121253,27.123133005575514,27.123133005575514,observed,observed,,
2021-01,21.1803193224606,14.655487922257352,6955.5,121253,21.1803193224606,21.1803193224606,observed,observed,,
2021-02,20.353224901485348,14.86431510795662,6985.0,121253,20.353224901485348,20.353224901485348,observed,observed,,
2021-03,22.714733816902342,14.670306761040466,7014.5,121253,22.714733816902342,22.714733816902342,observed,observed,,
2021-04,19.31682332121877,14.64378049860726,7045.0,121253,19.31682332121877,19.31682332121877,observed,observed,,
2021-05,23.949070543301456,14.635355202895092,7075.5,121253,23.949070543301456,23.949070543301456,observed,observed,,
2021-06,33.905142926295504,14.694017035990626,7106.0,121253,33.905142926295504,33.905142926295504,observed,observed,,
2021-07,39.569148404702425,14.637819092622937,7136.5,121253,39.569148404702425,39.569148404702425,observed,observed,,
2021-08,44.654993127421065,14.633560211063152,7167.5,121253,44.654993127421065,44.654993127421065,observed,observed,,
2021-09,44.31896827852723,14.68712760693374,7198.0,121253,44.31896827852723,44.31896827852723,observed,observed,,
2021-10,41.38160601507238,14.64037166044461,7228.5,121253,41.38160601507238,41.38160601507238,observed,observed,,
2021-11,36.56106355593694,14.797538021443692,7259.0,121253,36.56106355593694,36.56106355593694,observed,observed,,
2021-12,31.160328265125038,14.673097604359965,7289.5,121253,31.160328265125038,31.160328265125038,observed,observed,,
2022-01,22.71761763423002,14.694953538332774,7320.5,121253,22.71761763423002,22.71761763423002,observed,observed,,
2022-02,20.60678597913077,14.968461861780588,7350.0,121253,20.60678597913077,20.60678597913077,observed,observed,,
2022-03,22.851151862078602,14.786078032480825,7379.5,121253,22.851151862078602,22.851151862078602,observed,observed,,
2022-04,23.931125792306062,14.853412645996212,7410.0,121253,23.931125792306062,23.931125792306062,observed,observed,,
2022-05,23.80387834438594,14.78995099777765,7440.5,121253,23.80387834438594,23.80387834438594,observed,observed,,
2022-06,31.19213403883098,14.79495706944282,7471.0,121253,31.19213403883098,31.19213403883098,observed,observed,,
2022-07,44.371686234980835,14.812726437895087,7501.5,121253,44.371686234980835,44.371686234980835,observed,observed,,
2022-08,44.59182705433324,15.027267149368688,7532.5,121253,44.59182705433324,44.59182705433324,observed,observed,,
2022-09,44.219633993544335,14.99723405158933,7563.0,121253,44.219633993544335,44.219633993544335,observed,observed,,
2022-10,36.57773265915582,14.97666974573853,7593.5,121253,36.57773265915582,36.57773265915582,observed,observed,,
2022-11,33.87870130539243,15.067556006688786,7624.0,121253,33.87870130539243,33.87870130539243,observed,observed,,
2022-12,23.531544179378074,15.076724546470464,7654.5,121253,23.531544179378074,23.531544179378074,observed,observed,,
2023-01,21.116536687118295,15.005122977162262,7685.5,121253,21.116536687118295,21.116536687118295,observed,observed,,
2023-02,20.166772003833312,15.184883778921646,7715.0,121253,20.166772003833312,20.166772003833312,observed,observed,,
2023-03,22.557225126760997,15.04287741901987,7744.5,121253,22.557225126760997,22.557225126760997,observed,observed,,
2023-04,18.307550895573538,14.988995204310303,7775.0,121253,18.307550895573538,18.307550895573538,observed,observed,,
2023-05,23.643387419573184,15.001646889751926,7805.5,121253,23.643387419573184,23.643387419573184,observed,observed,,
2023-06,35.15890490402558,15.099235777853975,7836.0,121253,35.15890490402558,35.15890490402558,observed,observed,,
2023-07,45.559351769426435,14.947829090585508,7866.5,121253,45.559351769426435,45.559351769426435,observed,observed,,
2023-08,48.974704051602146,14.879277562568772,7897.5,121253,48.974704051602146,48.974704051602146,observed,observed,,
2023-09,47.628930887016004,14.9825521986608,7928.0,121253,47.628930887016004,47.628930887016004,observed,observed,,
2023-10,49.36033193401357,14.924420792055495,7958.5,121253,49.36033193401357,49.36033193401357,observed,observed,,
2023-11,43.658652292471885,15.048518213269375,7989.0,121253,43.658652292471885,43.658652292471885,observed,observed,,
2023-12,35.45946412729901,14.951883382036078,8019.5,121253,35.45946412729901,35.45946412729901,observed,observed,,
2024-01,28.53578735915157,15.057247476625362,8050.5,121253,28.53578735915157,28.53578735915157,observed,observed,,
2024-02,26.162556803013405,14.98945088451325,8080.5,121253,26.162556803013405,26.162556803013405,observed,observed,,
2024-03,31.001858708330726,14.932317365206197,8110.5,121253,31.001858708330726,31.001858708330726,observed,observed,,
2024-04,33.73244433303276,14.92379083864212,8141.0,121253,33.73244433303276,33.73244433303276,observed,observed,,
2024-05,34.21791590557006,14.986603903016444,8171.5,121253,34.21791590557006,34.21791590557006,observed,observed,,
2024-06,41.68390477614214,14.968409653173138,8202.0,121253,41.68390477614214,41.68390477614214,observed,observed,,
2024-07,43.726699683707565,14.914711400942233,8232.5,121253,43.726699683707565,43.726699683707565,observed,observed,,
2024-08,42.52857371653302,15.003649203715353,8263.5,121253,42.52857371653302,42.52857371653302,observed,observed,,
2024-09,47.105015354445804,15.030979431807442,8294.0,121253,47.105015354445804,47.105015354445804,observed,observed,,
2024-10,38.9808446635679,15.095190114984078,8324.5,121253,38.9808446635679,38.9808446635679,observed,observed,,
