month,jpl_ocean_mass_reference_mm,jpl_ocean_mass_uncertainty_mean_mm,source_time_days,ocean_cell_count,original_jpl_ocean_mass_reference_mm,filled_jpl_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2019-04,20.101474771918998,14.68582566733926,6314.0,121253,20.101474771918998,20.101474771918998,observed,observed,,
2019-05,20.10066322173567,14.672078005678822,6344.5,121253,20.10066322173567,20.10066322173567,observed,observed,,
2019-06,33.19602324885614,14.729463451665662,6375.0,121253,33.19602324885614,33.19602324885614,observed,observed,,
2019-07,41.80914350352851,14.700032347730254,6405.5,121253,41.80914350352851,41.80914350352851,observed,observed,,
2019-08,42.01144342399738,14.743045659851424,6436.5,121253,42.01144342399738,42.01144342399738,observed,observed,,
2019-09,45.44466198877683,14.80227882374923,6467.0,121253,45.44466198877683,45.44466198877683,observed,observed,,
2019-10,36.47743630337549,14.658936044771497,6497.5,121253,36.47743630337549,36.47743630337549,observed,observed,,
2019-11,27.457650980307484,14.616811395698258,6528.0,121253,27.457650980307484,27.457650980307484,observed,observed,,
2019-12,24.649235012279576,14.624631259276311,6558.5,121253,24.649235012279576,24.649235012279576,observed,observed,,
2020-01,22.468805238838833,15.023115379529179,6589.5,121253,22.468805238838833,22.468805238838833,observed,observed,,
2020-02,19.32232256162252,15.09271787539959,6619.5,121253,19.32232256162252,19.32232256162252,observed,observed,,
2020-03,24.387767178425086,14.606083891962095,6649.5,121253,24.387767178425086,24.387767178425086,observed,observed,,
2020-04,17.596217368440268,14.759192940894518,6680.0,121253,17.596217368440268,17.596217368440268,observed,observed,,
2020-05,21.04456255371408,14.693412302844221,6710.5,121253,21.04456255371408,21.04456255371408,observed,observed,,
2020-06,34.24108296629108,14.765078118272264,6741.0,121253,34.24108296629108,34.24108296629108,observed,observed,,
2020-07,42.8003565572819,14.719637957936484,6771.5,121253,42.8003565572819,42.8003565572819,observed,observed,,
2020-08,44.882102656332165,14.698974872041342,6802.5,121253,44.882102656332165,44.882102656332165,observed,observed,,
2020-09,37.621539019072806,14.784381556531773,6833.0,121253,37.621539019072806,37.621539019072806,observed,observed,,
2020-10,36.70037108579949,14.731513982337546,6863.5,121253,36.70037108579949,36.70037108579949,observed,observed,,
2020-11,30.00691409911206,14.957343522540093,6894.0,121253,30.00691409911206,30.00691409911206,observed,observed,,
2020-12,27.172147407323276,14.780155072820083,6924.5,121253,27.172147407323276,27.172147407323276,observed,observed,,
2021-01,21.231177711444538,14.65548792225735,6955.5,121253,21.231177711444538,21.231177711444538,observed,observed,,
2021-02,20.40441122018792,14.864315107956616,6985.0,121253,20.40441122018792,20.40441122018792,observed,observed,,
2021-03,22.77006415616403,14.67030676104046,7014.5,121253,22.77006415616403,22.77006415616403,observed,observed,,
2021-04,19.367714050197684,14.643780498607256,7045.0,121253,19.367714050197684,19.367714050197684,observed,observed,,
2021-05,23.999147249910685,14.63535520289509,7075.5,121253,23.999147249910685,23.999147249910685,observed,observed,,
2021-06,33.95961803651004,14.694017035990626,7106.0,121253,33.95961803651004,33.95961803651004,observed,observed,,
2021-07,39.62652407593311,14.637819092622932,7136.5,121253,39.62652407593311,39.62652407593311,observed,observed,,
2021-08,44.712040245961056,14.633560211063147,7167.5,121253,44.712040245961056,44.712040245961056,observed,observed,,
2021-09,44.37467086492688,14.687127606933739,7198.0,121253,44.37467086492688,44.37467086492688,observed,observed,,
2021-10,41.431222924205095,14.640371660444604,7228.5,121253,41.431222924205095,41.431222924205095,observed,observed,,
2021-11,36.61207071953393,14.797538021443692,7259.0,121253,36.61207071953393,36.61207071953393,observed,observed,,
2021-12,31.211770153384695,14.673097604359965,7289.5,121253,31.211770153384695,31.211770153384695,observed,observed,,
2022-01,22.77027013572008,14.694953538332769,7320.5,121253,22.77027013572008,22.77027013572008,observed,observed,,
2022-02,20.65708053824119,14.968461861780588,7350.0,121253,20.65708053824119,20.65708053824119,observed,observed,,
2022-03,22.901451132752403,14.786078032480821,7379.5,121253,22.901451132752403,22.901451132752403,observed,observed,,
2022-04,23.978708084126644,14.853412645996208,7410.0,121253,23.978708084126644,23.978708084126644,observed,observed,,
2022-05,23.855903598111198,14.78995099777765,7440.5,121253,23.855903598111198,23.855903598111198,observed,observed,,
2022-06,31.246125314502276,14.794957069442813,7471.0,121253,31.246125314502276,31.246125314502276,observed,observed,,
2022-07,44.42707503475613,14.812726437895087,7501.5,121253,44.42707503475613,44.42707503475613,observed,observed,,
2022-08,44.64651124906877,15.027267149368694,7532.5,121253,44.64651124906877,44.64651124906877,observed,observed,,
2022-09,44.27361380383978,14.99723405158933,7563.0,121253,44.27361380383978,44.27361380383978,observed,observed,,
2022-10,36.62843988423665,14.976669745738523,7593.5,121253,36.62843988423665,36.62843988423665,observed,observed,,
2022-11,33.93474495318805,15.067556006688784,7624.0,121253,33.93474495318805,33.93474495318805,observed,observed,,
2022-12,23.586491683965846,15.076724546470462,7654.5,121253,23.586491683965846,23.586491683965846,observed,observed,,
2023-01,21.17069380474731,15.005122977162259,7685.5,121253,21.17069380474731,21.17069380474731,observed,observed,,
2023-02,20.220993155580146,15.184883778921646,7715.0,121253,20.220993155580146,20.220993155580146,observed,observed,,
2023-03,22.613563883718527,15.042877419019863,7744.5,121253,22.613563883718527,22.613563883718527,observed,observed,,
2023-04,18.36271983990018,14.988995204310301,7775.0,121253,18.36271983990018,18.36271983990018,observed,observed,,
2023-05,23.70013737186774,15.00164688975193,7805.5,121253,23.70013737186774,23.70013737186774,observed,observed,,
2023-06,35.219682838177505,15.099235777853972,7836.0,121253,35.219682838177505,35.219682838177505,observed,observed,,
2023-07,45.6207945684312,14.947829090585506,7866.5,121253,45.6207945684312,45.6207945684312,observed,observed,,
2023-08,49.035463851407094,14.87927756256877,7897.5,121253,49.035463851407094,49.035463851407094,observed,observed,,
2023-09,47.688521040270444,14.9825521986608,7928.0,121253,47.688521040270444,47.688521040270444,observed,observed,,
2023-10,49.42089994623681,14.924420792055493,7958.5,121253,49.42089994623681,49.42089994623681,observed,observed,,
2023-11,43.721458345926685,15.048518213269377,7989.0,121253,43.721458345926685,43.721458345926685,observed,observed,,
2023-12,35.518025435164766,14.951883382036076,8019.5,121253,35.518025435164766,35.518025435164766,observed,observed,,
2024-01,28.594598915459617,15.057247476625356,8050.5,121253,28.594598915459617,28.594598915459617,observed,observed,,
2024-02,26.226893867985375,14.989450884513248,8080.5,121253,26.226893867985375,26.226893867985375,observed,observed,,
2024-03,31.06540617875902,14.932317365206192,8110.5,121253,31.06540617875902,31.06540617875902,observed,observed,,
2024-04,33.798711639371064,14.923790838642123,8141.0,121253,33.798711639371064,33.798711639371064,observed,observed,,
2024-05,34.28539385807905,14.986603903016448,8171.5,121253,34.28539385807905,34.28539385807905,observed,observed,,
2024-06,41.753998986566984,14.968409653173127,8202.0,121253,41.753998986566984,41.753998986566984,observed,observed,,
2024-07,43.796577035175545,14.914711400942231,8232.5,121253,43.796577035175545,43.796577035175545,observed,observed,,
2024-08,42.59497525783402,15.00364920371535,8263.5,121253,42.59497525783402,42.59497525783402,observed,observed,,
2024-09,47.172695574543596,15.03097943180744,8294.0,121253,47.172695574543596,47.172695574543596,observed,observed,,
2024-10,39.047604433552124,15.095190114984076,8324.5,121253,39.047604433552124,39.047604433552124,observed,observed,,
