month,c3s_equivalent_gmsl_mm,sio_thermosteric_mm,sio_halosteric_mm,sio_totalsteric_mm,dmi_hadisst,csr_ocean_mass_reference_mm,noaa_topex_poseidon_mm,noaa_jason_1_mm,noaa_jason_2_mm,noaa_jason_3_mm,noaa_sentinel_6mf_mm,original_csr_ocean_mass_reference_mm,filled_csr_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2015-12,77.38173812439969,1.4345801901072264,-1.258224481716752,1.931900391355157,0.2720000147819519,10.62537313324734,nan,nan,53.35666666666666,nan,nan,10.62537313324734,10.62537313324734,observed,observed,,
2016-01,73.08866969268715,1.3149294536560774,0.1277824048884213,3.2000199425965548,0.26499998569488525,5.203239399711298,nan,nan,52.623333333333335,nan,nan,5.203239399711298,5.203239399711298,observed,observed,,
2016-02,72.78585987816375,2.831143792718649,-0.35022824886254966,4.237792920321226,-0.10999999940395355,7.05913927657385,nan,nan,54.76333333333333,55.894999999999996,nan,7.05913927657385,7.05913927657385,observed,observed,,
2016-03,70.40587100401844,7.727108430117369,-1.19571085087955,8.28887801617384,-0.00800000037997961,11.603598707147736,nan,nan,55.123333333333335,56.81333333333333,nan,11.603598707147736,11.603598707147736,observed,observed,,
2016-04,67.9727799666351,6.590205244719982,-0.5478836828842759,7.799282670021057,0.1459999978542328,nan,nan,nan,53.98666666666667,55.38,nan,nan,8.970374787270476,filled,SSA-filling-a,24,10
2016-05,67.56809793260642,5.39611978456378,-2.0633505191653967,5.097303073853254,-0.11299999803304672,9.78606382898551,nan,nan,52.9975,54.885000000000005,nan,9.78606382898551,9.78606382898551,observed,observed,,
2016-06,68.32756692425215,0.21107027714606375,-1.8137904116883874,0.15905646432656795,-0.4429999887943268,17.281219018495225,nan,nan,54.906666666666666,56.67000000000001,nan,17.281219018495225,17.281219018495225,observed,observed,,
2016-07,68.82253503764363,-3.830898553133011,-1.7929169116541743,-3.8631653878837824,-0.7570000290870667,23.036369613794584,nan,nan,52.52,54.20666666666667,nan,23.036369613794584,23.036369613794584,observed,observed,,
2016-08,71.99726574044784,-6.435954477638006,-1.9048568792641163,-6.583082024008036,-0.4429999887943268,21.58572225975627,nan,nan,51.11333333333334,51.79,nan,21.58572225975627,21.58572225975627,observed,observed,,
2016-09,77.71464672007352,-3.807356348261237,-1.6650629695504904,-3.7196646444499493,-0.43700000643730164,nan,nan,nan,52.43,54.593333333333334,nan,nan,20.13995616265177,filled,SSA-filling-a,24,10
2016-10,81.74563090292332,-5.238194949924946,-1.423245994374156,-4.907731898128986,-0.3709999918937683,nan,nan,nan,51.425,52.843333333333334,nan,nan,17.204211894415934,filled,SSA-filling-a,24,10
2016-11,82.54023849937269,-1.23030471149832,-2.0199858117848635,-1.4962980058044195,-0.38199999928474426,11.985505453396051,nan,nan,54.150000000000006,57.50666666666667,nan,11.985505453396051,11.985505453396051,observed,observed,,
2016-12,78.4591498481982,-0.27628408861346543,-1.6877450980246067,-0.2049528993666172,-0.3100000023841858,11.449235950277734,nan,nan,54.4775,54.903333333333336,nan,11.449235950277734,11.449235950277734,observed,observed,,
